name,version,license,category,fall,licensecheck_compat,field_of_use_flag,action
CUDA-BINDINGS,12.9.4,LICENSEREF-NVIDIA-SOFTWARE-LICENSE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
CUDA-TOOLKIT,12.6.3,UNKNOWN,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
FSSPEC,2026.4.0,UNKNOWN,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
LANG-SAM,0.2.1,UNKNOWN,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-CUBLAS-CU12,12.6.4.1,OTHER_PROPRIETARY LICENSE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-CUDA-CUPTI-CU12,12.6.80,OTHER_PROPRIETARY LICENSE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-CUDA-NVRTC-CU12,12.6.85,OTHER_PROPRIETARY LICENSE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-CUDA-RUNTIME-CU12,12.6.77,OTHER_PROPRIETARY LICENSE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-CUDNN-CU12,9.10.2.21,OTHER_PROPRIETARY LICENSE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-CUFFT-CU12,11.3.0.4,OTHER_PROPRIETARY LICENSE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-CUFILE-CU12,1.11.1.6,OTHER_PROPRIETARY LICENSE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-CURAND-CU12,10.3.7.77,OTHER_PROPRIETARY LICENSE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-CUSOLVER-CU12,11.7.1.2,OTHER_PROPRIETARY LICENSE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-CUSPARSE-CU12,12.5.4.2,OTHER_PROPRIETARY LICENSE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-CUSPARSELT-CU12,0.7.1,NVIDIA PROPRIETARY SOFTWARE,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
NVIDIA-NCCL-CU12,2.29.3,UNKNOWN,Unknown,3,False,,Do not use. Escalate to Tobias proactively.
